year,month,day,day_pillar,month_pillar,year_pillar,lunar_year,lunar_month,lunar_day,is_leap_month,solar_term_hanja,solar_term_korean,term_time,term_time_seoul_lmt,term_time_utc
1900,11,19,丙申,丁亥,庚子,1900,9,28,,,,,,
1900,11,20,丁酉,丁亥,庚子,1900,9,29,,,,,,
1900,11,21,戊戌,丁亥,庚子,1900,9,30,,,,,,
1900,11,22,己亥,丁亥,庚子,1900,10,1,,,,,,
1900,11,23,庚子,丁亥,庚子,1900,10,2,,小雪,소설,190011230247,190011230215,190011221747
1900,11,24,辛丑,丁亥,庚子,1900,10,3,,,,,,
1900,11,25,壬寅,丁亥,庚子,1900,10,4,,,,,,
1900,11,26,癸卯,丁亥,庚子,1900,10,5,,,,,,
1900,11,27,甲辰,丁亥,庚子,1900,10,6,,,,,,
1900,11,28,乙巳,丁亥,庚子,1900,10,7,,,,,,
1900,11,29,丙午,丁亥,庚子,1900,10,8,,,,,,
1900,11,30,丁未,丁亥,庚子,1900,10,9,,,,,,
1900,12,1,戊申,丁亥,庚子,1900,10,10,,,,,,
1900,12,2,己酉,丁亥,庚子,1900,10,11,,,,,,
1900,12,3,庚戌,丁亥,庚子,1900,10,12,,,,,,
1900,12,4,辛亥,丁亥,庚子,1900,10,13,,,,,,
1900,12,5,壬子,丁亥,庚子,1900,10,14,,,,,,
1900,12,6,癸丑,丁亥,庚子,1900,10,15,,,,,,
1900,12,7,甲寅,戊子,庚子,1900,10,16,,大雪,대설,190012072155,190012072123,190012071255
1900,12,8,乙卯,戊子,庚子,1900,10,17,,,,,,
1900,12,9,丙辰,戊子,庚子,1900,10,18,,,,,,
1900,12,10,丁巳,戊子,庚子,1900,10,19,,,,,,
1900,12,11,戊午,戊子,庚子,1900,10,20,,,,,,
1900,12,12,己未,戊子,庚子,1900,10,21,,,,,,
1900,12,13,庚申,戊子,庚子,1900,10,22,,,,,,
1900,12,14,辛酉,戊子,庚子,1900,10,23,,,,,,
1900,12,15,壬戌,戊子,庚子,1900,10,24,,,,,,
1900,12,16,癸亥,戊子,庚子,1900,10,25,,,,,,
1900,12,17,甲子,戊子,庚子,1900,10,26,,,,,,
1900,12,18,乙丑,戊子,庚子,1900,10,27,,,,,,
1900,12,19,丙寅,戊子,庚子,1900,10,28,,,,,,
1900,12,20,丁卯,戊子,庚子,1900,10,29,,,,,,
1900,12,21,戊辰,戊子,庚子,1900,10,30,,,,,,
1900,12,22,己巳,戊子,庚子,1900,11,1,,冬至,동지,190012221540,190012221508,190012220640
1900,12,23,庚午,戊子,庚子,1900,11,2,,,,,,
1900,12,24,辛未,戊子,庚子,1900,11,3,,,,,,
1900,12,25,壬申,戊子,庚子,1900,11,4,,,,,,
1900,12,26,癸酉,戊子,庚子,1900,11,5,,,,,,
1900,12,27,甲戌,戊子,庚子,1900,11,6,,,,,,
1900,12,28,乙亥,戊子,庚子,1900,11,7,,,,,,
1900,12,29,丙子,戊子,庚子,1900,11,8,,,,,,
1900,12,30,丁丑,戊子,庚子,1900,11,9,,,,,,
1900,12,31,戊寅,戊子,庚子,1900,11,10,,,,,,
1901,1,1,己卯,戊子,庚子,1900,11,11,,,,,,
1901,1,2,庚辰,戊子,庚子,1900,11,12,,,,,,
1901,1,3,辛巳,戊子,庚子,1900,11,13,,,,,,
1901,1,4,壬午,戊子,庚子,1900,11,14,,,,,,
1901,1,5,癸未,戊子,庚子,1900,11,15,,,,,,
1901,1,6,甲申,己丑,庚子,1900,11,16,,小寒,소한,190101060852,190101060820,190101052352
1901,1,7,乙酉,己丑,庚子,1900,11,17,,,,,,
1901,1,8,丙戌,己丑,庚子,1900,11,18,,,,,,
1901,1,9,丁亥,己丑,庚子,1900,11,19,,,,,,
1901,1,10,戊子,己丑,庚子,1900,11,20,,,,,,
1901,1,11,己丑,己丑,庚子,1900,11,21,,,,,,
1901,1,12,庚寅,己丑,庚子,1900,11,22,,,,,,
1901,1,13,辛卯,己丑,庚子,1900,11,23,,,,,,
1901,1,14,壬辰,己丑,庚子,1900,11,24,,,,,,
1901,1,15,癸巳,己丑,庚子,1900,11,25,,,,,,
1901,1,16,甲午,己丑,庚子,1900,11,26,,,,,,
1901,1,17,乙未,己丑,庚子,1900,11,27,,,,,,
1901,1,18,丙申,己丑,庚子,1900,11,28,,,,,,
1901,1,19,丁酉,己丑,庚子,1900,11,29,,,,,,
1901,1,20,戊戌,己丑,庚子,1900,12,1,,,,,,
1901,1,21,己亥,己丑,庚子,1900,12,2,,大寒,대한,190101210215,190101210143,190101201715
1901,1,22,庚子,己丑,庚子,1900,12,3,,,,,,
1901,1,23,辛丑,己丑,庚子,1900,12,4,,,,,,
1901,1,24,壬寅,己丑,庚子,1900,12,5,,,,,,
1901,1,25,癸卯,己丑,庚子,1900,12,6,,,,,,
1901,1,26,甲辰,己丑,庚子,1900,12,7,,,,,,
1901,1,27,乙巳,己丑,庚子,1900,12,8,,,,,,
1901,1,28,丙午,己丑,庚子,1900,12,9,,,,,,
